220 22
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#>                     h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#>                     h
#>                     h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#>                     h
#>                     h
##                     h
#>                     h
#>                     h
###                    h
#>                     h
#>                     h
####                   h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#>                     h
#>                     h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
#                      h
##                     h
##                     h
##                     h
##                     h
##                     h
##                     h
#>                     h
#>                     h
##                     h
##                     h
##                     h
##>                    h
##                     h
##                     h
##                     h
##                     h
##                     h
#                      h
#                      h
###                    h
###                    h
###                    h
###                    h
###>                   h
###                    h
###                     h
###                    h
###                    h
###                    h
###                    h
#>                     h
#>                     h
#> |                   h
#>                     h
#>                     h
#>  |                  h
#>                     h
#>                     h
#>   |                 h
#>                     h
#>                     h
#>    |                h
#>                     h
#>                     h
#>     |               h
#>                     h
#>  #                  h
#>  #                  h
#####                  h
#####                  h
#####                  h
#####                  h
#####>                 h
#####>|                h
#####>|                h
#####>                 h
#####                  h
#####                  h
#####                  h
#####                  h
#####>                 h
#####>|                h
#####>|                h
#####>                 h
#####                  h
#####                  h
#####                  h
####                   h
####                   h
####                   h
####  |>               h
####  |>               h
####  |>               h
####  |>               h
####                   h
####                   h
####                   h
#####                  h
#####                  h
#####                  h
#####                  h
#####>                 h
###>                   h
###                    h
###                    h
###                    h
# #                    h
# ##                   h
#> #                   h
#> #                   h
#> #                   h
#>                     h
#>                     h
#>  |                  h
#>  |                  h
#>  |                  h
#>  |>                 h
#>                     h
#>                     h
#> |                   h
#> |                   h
#> |                   h
#> |                   h
#> |                   h
#> |>                  h
#                      h
#                      h
#  |                   h
#  |                   h
#  |                   h
#  |                   h
#                      h
#                      h
#   |                  h
#                      h
#                      h
#    |                 h
#                      h
#                      h
#     |                h
#                      h
#                      h
#      |               h
#                      h
#    #                 h
#    #  |>             h
#    #                 h
#    #                 h
#    #                 h
#    #                 h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######___##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
######   ##############h
10 1
